REEF_NAME,REEF_ID,Latitude,Longitude
LANGFORD-BIRD REEF,20019,-20.0916666666667,148.875
LAUREL REEF,12006,-12.1333333333333,143.275
LAVERS REEF,21235,-21.2166666666667,152.016666666667
LENA REEF,15085,-15.65,145.8
LEOPARD REEF,19050,-19.0916666666667,148.7
LIFF REEF,20296,-20.5166666666667,150.241666666667
LINE REEF,19128,-19.6916666666667,149.2
LINNET REEF,14126,-14.7833333333333,145.341666666667
LITTLE BOYDONG REEF,11061,-11.4833333333333,143.041666666667
LITTLE BUGATTI (WHEATLEY) REEF,20115,-20.0333333333333,150.241666666667
LITTLE KELSO REEF,18031,-18.475,147
LITTLE REEF,19157,-19.6666666666667,149.583333333333
LIZARD ISLAND,14116,-14.675,145.466666666667
LLWELLYN REEF,23078,-23.6916666666667,152.183333333333
LODESTONE REEF,18078,-18.7,147.1
LOG REEF (NORTH),12104,-12.625,143.825
LOG REEF (SOUTH),12107,-12.675,143.841666666667
LONG REEF(15019),15019,-15.05,145.566666666667
LONG SANDY REEF,12094,-12.5166666666667,143.775
LOW ISLANDS REEF,16028,-16.3833333333333,145.566666666667
LYNCHS REEF,18091,-18.775,147.708333333333
MACGILLIVRAY REEF,14114,-14.65,145.491666666667
MACKAY REEF,16015,-16.05,145.65
MACKAY REEFS,15024,-15.15,145.575
MAGPIE REEF,13087,-13.775,143.833333333333
MANTIS REEF,12056,-12.275,143.891666666667
MAORI REEF,17006,-17.1083333333333,146.341666666667
MARTIN REEF(14123),14123,-14.7666666666667,145.358333333333
MARTIN REEF(19075),19075,-19.4833333333333,148.825
MARX REEF,15027,-15.2,145.616666666667
MAST HEAD REEF,23069,-23.5416666666667,151.733333333333
MCCULLOCH,17016,-17.2833333333333,146.45
MCSWEENEY REEF,11016,-11.025625,143.25025
MICHAELMAS REEF,16060,-16.5833333333333,146.016666666667
MID REEF(19029),19029,-19.075,148.075
MIDDLE BANKS (1),11222,-11.7666666666667,143.483333333333
MIDDLE BANKS (2),11222,-11.7633333333333,143.651666666667
MIDDLE BANKS B (3),11222,-11.7716666666667,143.658333333333
MIDDLE BANKS C (4),11222,-11.8583333333333,143.591666666667
MILLN REEF,16067,-16.7916666666667,146.275
MONSOON REEF,11029,-11.1333333333333,143.258333333333
MOORE REEF,16071,-16.8666666666667,146.233333333333
MORNING REEF,15098,-15.975,145.666666666667
MORRIS ISLAND REEF,13072,-13.4833333333333,143.733333333333
MOSS REEF,17068,-17.95,146.8
MYRMIDON REEF,18034,-18.2666666666667,147.391666666667
MYSTERY REEF,21258,-21.3833333333333,152.025
NAPIER REEF,19195,-19.8416666666667,149.891666666667
NATHAN REEF,17035,-17.5333333333333,146.516666666667
NEEDLE REEF,18037,-18.3583333333333,147.208333333333
NEWELL REEF,20396,-20.9583333333333,152.275
NIGHT REEF,13031,-13.1833333333333,143.566666666667
NO 10 PATCHES (NO 2),14152,-14.9333333333333,145.683333333333
NO NAME REEF,14139,-14.65,145.65
NOGGIN REEF,17008,-17.1333333333333,146.466666666667
NORMAN REEF,16030,-16.4333333333333,146
NORMANBY-MABEL REEF,17012,-17.2083333333333,146.083333333333
NORTH DIRECTION REEF,14143,-14.7416666666667,145.508333333333
NORTH REEF (NORTH),23045,-23.1833333333333,151.908333333333
NORTH WEST ISLAND REEF,23049,-23.3,151.741666666667
NYMPH REEF,14115,-14.6583333333333,145.25
OGILVIE REEF,13076,-13.5416666666667,143.791666666667
OLD REEF,19048,-19.3916666666667,148.091666666667
ONE TREE REEF,23055,-23.5,152.066666666667
OOM REEF,19212,-19.8333333333333,150.183333333333
OPAL (1),16025,-16.2166666666667,145.891666666667
OPAL (2),16025,-16.2166666666667,145.891666666667
OPAL (3),16025,-16.2166666666667,145.891666666667
OSBORNE REEF,13006,-13.0416666666667,143.625
OUTLIER REEF,19120,-19.55,149.358333333333
OYSTER REEF,16043,-16.6333333333333,145.933333333333
PACKER REEFS,20145,-20.4833333333333,150.208333333333
PANDORA REEF,18051,-18.8166666666667,146.433333333333
PARKER REEF,20286,-20.5416666666667,149.75
PASCO REEF,15018,-15.05,145.533333333333
PEARSON REEF,11211,-11.5666666666667,143.716666666667
PEART REEF,17024,-17.4833333333333,146.391666666667
PELICAN ISLAND REEF(13107),13107,-13.9166666666667,143.841666666667
PELLOWE REEF,16070,-16.855,146.35
PELORUS (NORTH PALM OR YANOOA) REEF,18048,-18.5666666666667,146.483333333333
PENRITH REEF,21025,-21.0166666666667,149.9
PICKERSGILL REEF,15093,-15.875,145.583333333333
PINE PEAK REEF,21386,-21.5166666666667,150.258333333333
PIXIE REEF,16040,-16.55,145.858333333333
PLASTER REEF,19147,-19.6333333333333,149.658333333333
POLLUX REEF,19027,-19.05,148.308333333333
POMPEY REEF (NO 1),20351,-20.9416666666667,150.533333333333
POMPEY REEF (NO 2),20351,-20.9916666666667,150.525
POTTER REEF (NO 1),17059,-17.7,146.55
PRAWN REEF,19024,-19.0166666666667,148.116666666667
PRICE CAY REEF,21518,-21.7833333333333,152.45
PRUDHOE ISLAND REEF,21031,-21.3333333333333,149.691666666667
QUOIN REEF(12027),12027,-12.4,143.533333333333
RACHEL CARSON REEF,15092,-15.825,145.816666666667
RAFTER REEF,19146,-19.6083333333333,149.625
RAINE REEF,11243,-11.6,144.025
REBE REEF,19209,-19.8083333333333,150.15
RECREATION REEF,21501,-21.6833333333333,152.441666666667
RIB REEF,18032,-18.4833333333333,146.883333333333
RIBBON NO 1 REEF,15080,-15.6083333333333,145.8
RIBBON NO 10 REEF,14146,-14.8,145.716666666667
RIBBON NO 2 REEF (NO 1),15075,-15.5583333333333,145.8
RIBBON NO 3 REEF,15050,-15.4833333333333,145.8
RIBBON NO 4 REEF,15046,-15.4333333333333,145.8
RIBBON NO 5 REEF,15038,-15.3666666666667,145.783333333333
RIBBON NO 6 REEF,15032,-15.2833333333333,145.75
RIBBON NO 9 REEF,14154,-14.9916666666667,145.708333333333
RIBBON NO.8,15021,-15.0833333333333,145.725
RIP REEF,20370,-20.8083333333333,151.066666666667
ROBERTSON REEFS (NO 2),20136,-20.35,150.058333333333
ROCKY ISLAND REEF(15054),15054,-15.6033333333333,145.336666666667
RODDA REEF,13127,-13.925,144.366666666667
ROSS REEF,19197,-19.875,149.583333333333
ROSSER REEF,15081,-15.6166666666667,145.516666666667
ROUND REEF,19204,-19.9666666666667,149.625
ROUND-RUSSELL REEF,17013,-17.225,146.091666666667
ROXBURGH REEF,18042,-18.4333333333333,147.066666666667
RUBY REEF,15088,-15.75,145.783333333333
RUDDER REEF,16023,-16.2,145.7
SANCTUARY REEF,22109,-22.0666666666667,152.675
SAND BANK NO 1 REEF,14045,-14.1916666666667,144.916666666667
SAND BANK NO 8 REEF,13056,-13.3583333333333,143.958333333333
SAVILLE-KENT REEF,18099,-18.8583333333333,147.891666666667
SAXON REEF,16032,-16.4666666666667,145.983333333333
SCOTT REEF,17004,-17.075,146.183333333333
SEAGULL REEF,19107,-19.525,148.983333333333
SECOND SMALL REEF,12098,-12.5666666666667,143.775
SHELL REEF,19028,-19.0666666666667,148.183333333333
SHOWERS REEF,19076,-19.4916666666667,148.908333333333
SHRIMP REEF,18118,-18.95,148.083333333333
SINKER REEF(19133),19133,-19.725,149.2
SIR CHARLES HARDY ISLANDS (1),11184,-11.9083333333333,143.466666666667
SIR CHARLES HARDY ISLANDS (2),11184,-11.9083333333333,143.466666666667
SISTERS ISLAND (SOUTH BARNARD),17046,-17.75,146.15
SLATE REEF,19159,-19.6666666666667,149.925
SMALL LAGOON REEF,21572,-21.875,152.508333333333
SNAKE (22088),22088,-22.025,152.15
SNAKE REEF,14087,-14.475,145.025
SOUTH DIRECTION REEF (NORTH),14147,-14.825,145.525
SOUTHAMPTON REEF (BRIGGS 3),20299,-20.6666666666667,150.466666666667
ST CRISPIN REEF,16019,-16.1083333333333,145.833333333333
STANLEY REEF,19045,-19.3,148.083333333333
STAPLETON REEF,14054,-14.325,144.858333333333
STARTLE (EAST),15028,-15.2083333333333,145.55
STARTLE (WEST),15028,-15.2083333333333,145.55
STEPHENS IS (SOUTH BARNARD),17046,-17.75,146.15
STUCCO REEF,19141,-19.5583333333333,149.6
SWEETLIP REEF,22140,-22.275,152.733333333333
SWINGER REEF,15030,-15.2416666666667,145.533333333333
SWITZER REEF,14061,-14.3583333333333,144.758333333333
TABIAS REEF,19034,-19.1,148.283333333333
TAYLOR REEF,17064,-17.8333333333333,146.55
TEMPLE ISLAND REEF,21308,-21.6083333333333,149.483333333333
TEMPLE SHOAL,21340,-21.6,149.5
TERN REEF(20309),20309,-20.9083333333333,150.033333333333
THETFORD REEF,16068,-16.8083333333333,146.191666666667
THOMAS REEF(21497),21497,-21.6666666666667,152.341666666667
THREE ISLANDS REEF,15005,-15.1166666666667,145.425
THREE REEFS,11223,-11.7666666666667,143.883333333333
TIDEWAY REEF (NO 1),19205,-20.025,149.725
TILE REEF,19151,-19.6166666666667,149.85
TOBIAS SPIT,17009,-17.15,146.016666666667
TONGUE (1),16026,-16.3166666666667,145.816666666667
TONGUE (2),16026,-16.3166666666667,145.816666666667
TONGUE (3),16026,-16.3166666666667,145.816666666667
TRIANGLE REEF(10391),10391,-10.7583333333333,143.991666666667
TRYON REEF,23046,-23.25,151.783333333333
TURNER REEF,21562,-21.725,152.558333333333
TURTLE GROUP REEF (NO 2),14120,-14.7366666666667,145.2
TWO ISLANDS REEF,15002,-15.025,145.441666666667
TYDEMAN REEF,13133,-13.9833333333333,144.516666666667
U/N (SHOAL),21557,-21.9833333333333,152.458333333333
UNDINE REEF (WEST),16020,-16.125,145.666666666667
UPOLU REEF,16046,-16.675,145.933333333333
VIPER REEF,18112,-18.8666666666667,148.141666666667
VLASOFF REEF,16044,-16.65,146
WACKETT REEF,19211,-19.825,150.075
WADE REEF,21588,-21.9833333333333,152.65
WALLABY REEF,19071,-19.4333333333333,148.65
WANSFELL REEF,19098,-19.5083333333333,149.116666666667
WARDLE REEF,17032,-17.45,146.541666666667
WHEELER REEF,18095,-18.8083333333333,147.525
WHITE TIP REEF,19220,-19.9166666666667,150.275
WILLIAMS REEF,19218,-19.9083333333333,150.166666666667
WILSON REEF(13129),13129,-13.9583333333333,144.408333333333
WISTARI REEF,23053,-23.475,151.883333333333
WIZARD REEF,11156,-11.55,143.016666666667
WRECK ISLAND REEF,23051,-23.3333333333333,151.966666666667
WUP REEF,20120,-20.1083333333333,150.325
WYBORN REEF,10336,-10.825,142.766666666667
YANKEE REEF,18074,-18.5666666666667,147.491666666667
YONGE REEF,14138,-14.6,145.625
YULE DETACHED REEF,11240,-11.9666666666667,143.983333333333
